codcnh,nombre,latitude,longitude,municipios,codprov,provincias,ncamas,finalidad_asisitencial,cerrado
81430,HOSPITAL COMARCAL DE L'ALT PENEDÈS.,41.352086350339,1.7022056486284598,Vilafranca del Penedès,8,BARCELONA,144,GENERAL,N
81458,ÀPTIMA CENTRE CLÍNIC - MÚTUA DE TERRASSA,41.5633503500018,2.0164044000362598,Terrassa,8,BARCELONA,70,GENERAL,N
81461,INSTITUT CATALÀ D'ONCOLOGIA - HOSPITAL DURAN I REYNALS,41.344991230902885,2.109556419391533,"Hospitalet de Llobregat, L'",8,BARCELONA,126,ONCOLÓGICO,N
81483,SAR MONT MARTÍ,41.97455978393555,1.8791049718856807,Puig-reig,8,BARCELONA,20,GERIATRÍA Y/O LARGA ESTANCIA,N
81496,REGINA SAR,41.4089231,2.1497453999999996,Barcelona,8,BARCELONA,12,GERIATRÍA Y/O LARGA ESTANCIA,N
81537,CENTRE VALLPARADÍS,41.5649159781685,2.016601765397446,Terrassa,8,BARCELONA,81,GERIATRÍA Y/O LARGA ESTANCIA,N
81568,ITA MARESME,41.5498212504669,2.39706969879721,Argentona,8,BARCELONA,77,OTROS MONOGRÁFICOS,N
81574,CLÍNICA LLÚRIA,41.392472399999996,2.1598196,Barcelona,8,BARCELONA,40,PSIQUIÁTRICO,N
81580,ANTIC HOSPITAL DE SANT JAUME I SANTA MAGDALENA,41.53969620000001,2.4488857000000004,Mataró,8,BARCELONA,70,GERIATRÍA Y/O LARGA ESTANCIA,N
81593,PARC SANITARI SANT JOAN DE DÉU - NUMÀNCIA,41.3814815,2.1409201,Barcelona,8,BARCELONA,159,PSIQUIÁTRICO,N
81605,PRYTANIS HOSPITALET CENTRE SOCIOSANITARI,41.3642293,2.1299193,"Hospitalet de Llobregat, L'",8,BARCELONA,104,GERIATRÍA Y/O LARGA ESTANCIA,N
81616,COMUNITAT TERAPÈUTICA ARENYS DE MUNT,41.6102180480957,2.540863037109375,Arenys de Munt,8,BARCELONA,42,PSIQUIÁTRICO,N
81649,HOSPITAL SOCIOSANITARI PERE VIRGILI,41.4146294,2.1427334,Barcelona,8,BARCELONA,366,GERIATRÍA Y/O LARGA ESTANCIA,N
81661,BENITO MENNI COMPLEX ASSISTENCIAL EN SALUT MENTAL,41.6136231634548,2.29060512891742,Granollers,8,BARCELONA,30,PSIQUIÁTRICO,N
81672,HOSPITAL  SANITAS CIMA,41.3910715,2.1236325000000003,Barcelona,8,BARCELONA,83,GENERAL,N
81683,PARC SANITARI SANT JOAN DE DEU - BRIANS 1.,41.50362108015017,1.8797693853413575,Sant Esteve Sesrovires,8,BARCELONA,150,GENERAL,N
81694,INSTITUT CATALÀ D'ONCOLOGIA - HOSPITAL GERMANS TRIAS I PUJOL,41.4657916424567,2.23745106114237,Badalona,8,BARCELONA,36,ONCOLÓGICO,N
81706,CENTRE COLLSEROLA MUTUAL,41.4352315,2.1465794,Barcelona,8,BARCELONA,34,GERIATRÍA Y/O LARGA ESTANCIA,N
81717,CENTRE SOCIOSANITARI SARQUAVITAE SANT JORDI,41.358226200000004,2.0646336,Cornellà de Llobregat,8,BARCELONA,51,GERIATRÍA Y/O LARGA ESTANCIA,N
81728,HOSPITAL GENERAL PENITENCIARI,41.55572128295898,2.0554590225219727,Terrassa,8,BARCELONA,32,GENERAL,N
81739,CENTRE SOCIOSANITARI DE L'HOSPITALET - CONSORCI SANITARI INTEGRAL,41.37360447767143,2.106306159001004,"Hospitalet de Llobregat, L'",8,BARCELONA,123,GERIATRÍA Y/O LARGA ESTANCIA,N
81740,SAR LA SALUT JOSEP SERVAT,41.413971999999994,2.1572017000000003,Barcelona,8,BARCELONA,56,GERIATRÍA Y/O LARGA ESTANCIA,N
81751,CLÍNICA CREU BLANCA,41.3980235,2.1179765,Barcelona,8,BARCELONA,51,GENERAL,N
81762,HESTIA GRÀCIA,41.41024926164865,2.1621170831985896,Barcelona,8,BARCELONA,153,GERIATRÍA Y/O LARGA ESTANCIA,N
81784,CENTRE SOCIOSANITARI D'ESPLUGUES,41.38262542339445,2.0856720557656825,Esplugues de Llobregat,8,BARCELONA,131,GERIATRÍA Y/O LARGA ESTANCIA,N
81795,CENTRE SOCIOSANITARI RICARD FORTUNY,41.33948529999999,1.7047128,Vilafranca del Penedès,8,BARCELONA,187,GERIATRÍA Y/O LARGA ESTANCIA,N
81818,CENTRE RESIDENCIAL AMMA DIAGONAL,41.403998200000004,2.1953061000000003,Barcelona,8,BARCELONA,5,GERIATRÍA Y/O LARGA ESTANCIA,N
81829,CENTRE FÒRUM,41.4129917,2.2182832,Barcelona,8,BARCELONA,223,GERIATRÍA Y/O LARGA ESTANCIA,N
81830,CENTRE SOCIOSANITARI BLAUCLÍNIC DOLORS ALEU,41.4063903,2.1480932999999998,Barcelona,8,BARCELONA,174,GERIATRÍA Y/O LARGA ESTANCIA,N
81841,PARC SANITARI SANT JOAN DE DÉU - TIL·LERS,41.55359169506389,2.22612172642406,Mollet del Vallès,8,BARCELONA,10,PSIQUIÁTRICO,N
81874,CLÍNICA GALATEA,41.410512100000005,2.1138276,Barcelona,8,BARCELONA,22,PSIQUIÁTRICO,N
81885,HOSPITAL D'IGUALADA,41.588018299999995,1.6196735,Igualada,8,BARCELONA,280,GENERAL,N
81896,CENTRE SOCIAL I SANITARI FREDERICA MONTSENY,41.32162279999999,2.0180621,Viladecans,8,BARCELONA,76,GERIATRÍA Y/O LARGA ESTANCIA,N
81919,PARC SANITARI SANT JOAN DE DEU-SERVEIS SANITARIS CENTRE PENITENCIARI BRIANS-2,41.4742897000386,1.91287410146902,Sant Esteve Sesrovires,8,BARCELONA,152,GENERAL,N
81920,CENTRE INTEGRAL DE SERVEIS EN SALUT MENTAL COMUNITÀRIA,41.4064367,2.1555515,Barcelona,8,BARCELONA,25,PSIQUIÁTRICO,N
81931,CENTRE SOCIOSANITARI SANT JORDI DE LA VALL D'HEBRON,41.4306047,2.1445925,Barcelona,8,BARCELONA,57,GERIATRÍA Y/O LARGA ESTANCIA,N
81942,"LEPANT RESIDENCIAL QGG, SL",41.411340100000004,2.1673979,Barcelona,8,BARCELONA,10,GERIATRÍA Y/O LARGA ESTANCIA,N
81953,MAPFRE QUAVITAE BARCELONA,41.4100458,2.1729859,Barcelona,8,BARCELONA,38,GERIATRÍA Y/O LARGA ESTANCIA,N
81964,UNITAT POLIVALENT SALUT MENTAL BARCELONA-NORD,41.426926850014794,2.1376224500134597,Barcelona,8,BARCELONA,52,PSIQUIÁTRICO,N
81997,"CQM CLÍNIC MARESME, SL",41.535885799999996,2.4442681,Mataró,8,BARCELONA,10,GENERAL,N
82001,SERVEIS SANITARIS LA ROCA DEL VALLES 2,41.59151298269294,2.285445527435703,"Roca del Vallès, La",8,BARCELONA,34,GENERAL,N
82012,CLÍNICA DEL VALLÈS,41.532920800026204,2.12070674996755,Sabadell,8,BARCELONA,107,GENERAL,N
82023,CENTRE GERONTOLÒGIC AMMA SANT CUGAT,41.484111793643706,2.08547097735752,Sant Cugat del Vallès,8,BARCELONA,4,GERIATRÍA Y/O LARGA ESTANCIA,N
82034,SERVEIS SANITARIS SANT JOAN DE VILATORRADA,41.7486227001629,1.80901041424481,Sant Joan de Vilatorrada,8,BARCELONA,56,GENERAL,N
82045,CENTRE SOCIOSANITARI STAUROS,41.4395170724855,2.16209949676032,Barcelona,8,BARCELONA,49,GERIATRÍA Y/O LARGA ESTANCIA,N
82066,HOSPITAL DE SANT JOAN DESPÍ MOISÈS BROGGI,41.3675597504489,2.05570704928352,Sant Joan Despí,8,BARCELONA,328,GENERAL,N
82099,AMMA HORTA,41.418266521586645,2.125972829361205,Barcelona,8,BARCELONA,5,GERIATRÍA Y/O LARGA ESTANCIA,N
82112,UNITAT POLIVALENT BENITO MENNI EN SALUT MENTAL DE L'HOSPITALET-EL PRAT DE LLOBREGAT,41.3693432,2.1053577999999997,"Hospitalet de Llobregat, L'",8,BARCELONA,35,PSIQUIÁTRICO,N
82134,ITA MARESME,41.3970625,2.1488489,Barcelona,8,BARCELONA,56,OTROS MONOGRÁFICOS,N
82145,CENTRE SOCIOSANITARI DEL CENTRE INTEGRAL DE SALUT COTXERES,41.44276809692383,2.181020021438598,Barcelona,8,BARCELONA,209,GERIATRÍA Y/O LARGA ESTANCIA,N
82156,CLÍNICA SANT ANTONI,41.3560621,2.1433035,Barcelona,8,BARCELONA,224,GERIATRÍA Y/O LARGA ESTANCIA,N
82167,CLÍNICA DIAGONAL,41.3785738,2.0974338,Esplugues de Llobregat,8,BARCELONA,98,GENERAL,N
82178,HOSPITAL SOCIOSANITARI DE MOLLET,41.541092600000006,2.2113928,Mollet del Vallès,8,BARCELONA,109,GERIATRÍA Y/O LARGA ESTANCIA,N
82189,CENTRE SOCIOSANITARI ISABEL ROIG,41.443037100000005,2.1926145,Barcelona,8,BARCELONA,251,GERIATRÍA Y/O LARGA ESTANCIA,N
82190,IVÁN MAÑERO CLÍNIC,41.484111793643706,2.08547097735752,Sant Cugat del Vallès,8,BARCELONA,17,QUIRÚRGICO,N
82202,INSTITUT TRASTORN LÍMIT,41.475790350012005,2.0430533000313402,Sant Cugat del Vallès,8,BARCELONA,14,PSIQUIÁTRICO,N
82213,CENTRE D'HOSPITALITZACIÓ I HOSPITAL DE DIA TRASTORNS DE LA CONDUCTA,41.555747985839844,2.4004380702972408,Argentona,8,BARCELONA,40,PSIQUIÁTRICO,N
82224,SARQUAVITAE BONANOVA,41.4025599,2.1271637,Barcelona,8,BARCELONA,28,GERIATRÍA Y/O LARGA ESTANCIA,N
82236,CENTRE LA CREUETA,41.5495304003569,2.11363734965145,Sabadell,8,BARCELONA,46,GERIATRÍA Y/O LARGA ESTANCIA,N
82246,UNITAT TERAPÈUTICA-EDUCATIVA ACOMPANYA'M,41.4118164,2.1305641,Barcelona,8,BARCELONA,30,PSIQUIÁTRICO,N
90026,HOSPITAL FUENTE BERMEJA,42.34369428939579,-3.71241218642708,Burgos,9,BURGOS,0,PSIQUIÁTRICO,N
90047,HOSPITAL RECOLETAS DE BURGOS,42.3444859562268,-3.6825072803936805,Burgos,9,BURGOS,92,GENERAL,N
90050,HOSPITAL SAN JUAN DE DIOS DE BURGOS,42.3384832500239,-3.71043184995242,Burgos,9,BURGOS,160,GERIATRÍA Y/O LARGA ESTANCIA,N
90079,HOSPITAL SANTOS REYES,41.66931829999999,-3.6908646000000003,Aranda de Duero,9,BURGOS,123,GENERAL,N
90085,HOSPITAL RESIDENCIA ASISTIDA DE LA LUZ,41.662012939331866,-3.694371462263246,Aranda de Duero,9,BURGOS,75,GERIATRÍA Y/O LARGA ESTANCIA,N
90098,HOSPITAL SANTIAGO APÓSTOL,42.6754199500001,-2.9484403500167398,Miranda de Ebro,9,BURGOS,114,GENERAL,N
90133,COMPLEJO ASISTENCIAL UNIVERSITARIO DE BURGOS,42.3625940500196,-3.6814866500472903,Burgos,9,BURGOS,865,GENERAL,N
90155,HOSPITAL UNIVERSITARIO DE BURGOS,42.360036754720795,-3.68622710706598,Burgos,9,BURGOS,0,GENERAL,N
100015,HOSPITAL SAN PEDRO DE ALCÁNTARA,39.4665124767904,-6.369282669630421,Cáceres,10,CÁCERES,0,GENERAL,N
100020,HOSPITAL PROVINCIAL NUESTRA SEÑORA DE LA MONTAÑA,39.47621536254883,-6.370859146118164,Cáceres,10,CÁCERES,0,GENERAL,N
100041,HOSPITAL CIUDAD DE CORIA,37.284645899999994,-6.0520357,Coria,10,CÁCERES,103,GENERAL,N
100054,HOSPITAL CAMPO ARAÑUELO,39.88756561279297,-5.560554027557373,Navalmoral de la Mata,10,CÁCERES,102,GENERAL,N
100067,HOSPITAL VIRGEN DEL PUERTO,40.0500208759274,-6.085489946640429,Plasencia,10,CÁCERES,250,GENERAL,N
100073,HOSPITAL SOCIOSANITARIO DE PLASENCIA,40.03050231933594,-6.0882511138916025,Plasencia,10,CÁCERES,330,PSIQUIÁTRICO,N
100089,COMPLEJO HOSPITALARIO DE CÁCERES,39.47621536254883,-6.370859146118164,Cáceres,10,CÁCERES,520,GENERAL,N
100092,HOSPITAL QUIRÓN SALUD DE CÁCERES,39.4820333,-6.3636517999999995,Cáceres,10,CÁCERES,35,GENERAL,N
100106,CLÍNICA SOQUIMEX,40.0323804,-6.0848904,Plasencia,10,CÁCERES,20,GENERAL,N
100113,"CLINICA QUIRÚRGICA CACEREÑA, S.A-(CLÍNICA SAN FRANCISCO)",39.468823799999996,-6.3687989,Cáceres,10,CÁCERES,32,GENERAL,N
110012,HOSPITAL UNIVERSITARIO PUERTA DEL MAR,36.5088536,-6.2782743,Cádiz,11,CÁDIZ,738,GENERAL,N
110048,CLÍNICA LA SALUD,36.5320075,-6.2958509000000005,Cádiz,11,CÁDIZ,58,GENERAL,N
110051,HOSPITAL SAN RAFAEL,36.5328076,-6.3025371,Cádiz,11,CÁDIZ,280,GENERAL,N
110086,HOSPITAL  PUNTA DE EUROPA,36.129825592041016,-5.447755813598633,Algeciras,11,CÁDIZ,0,GENERAL,S
110103,CLÍNICA  LOS ÁLAMOS,36.7040381,-6.1306773,Jerez de la Frontera,11,CÁDIZ,15,GENERAL,N
110110,HOSPITAL UNIVERSITARIO DE JEREZ DE LA FRONTERA,36.68841901647521,-6.15417763376882,Jerez de la Frontera,11,CÁDIZ,498,GENERAL,N
110125,HOSPITAL SAN JUAN GRANDE,36.6910211393142,-6.148244116207299,Jerez de la Frontera,11,CÁDIZ,143,GENERAL,N
110146,HOSPITAL  DE LA LÍNEA DE LA CONCEPCIÓN,36.1626553500049,-5.3443514000551104,"Línea de la Concepción, La",11,CÁDIZ,180,GENERAL,S
110162,HOSPITAL GENERAL SANTA MARÍA DEL PUERTO,36.598277800430104,-6.2367803991332105,"Puerto de Santa María, El",11,CÁDIZ,238,GENERAL,N
110184,HOSPITAL UNIVERSITARIO DE PUERTO REAL,36.625348882402896,-6.2024691152322005,Puerto Real,11,CÁDIZ,319,GENERAL,N
110218,HOSPITAL VIRGEN DE LAS MONTAÑAS,36.8613510131836,-5.641657829284668,Villamartín,11,CÁDIZ,108,GENERAL,N
110223,HOSPITAL VIRGEN DEL CAMINO,36.767297419513895,-6.36049597919006,Sanlúcar de Barrameda,11,CÁDIZ,118,GENERAL,N
110239,HOSPITAL JEREZ PUERTA DEL SUR,36.672051440300606,-6.147998664223759,Jerez de la Frontera,11,CÁDIZ,98,GENERAL,N
110248,HOSPITAL VIAMED BAHÍA DE CÁDIZ,36.4208026,-6.1499842000000005,Chiclana de la Frontera,11,CÁDIZ,46,GENERAL,N
110259,HOSPITAL PUNTA DE EUROPA,36.0925823500979,-5.44619790007724,Algeciras,11,CÁDIZ,327,GENERAL,N
110260,HOSPITAL VIAMED NOVO SANCTI PETRI,36.41925430297852,-6.149415969848633,Chiclana de la Frontera,11,CÁDIZ,37,GENERAL,N
110271,CLÍNICA SERMAN - INSTITUTO MÉDICO,36.692899600000004,-6.1242278,Jerez de la Frontera,11,CÁDIZ,41,GENERAL,N
110282,HOSPITAL QUIRÓN CAMPO DE GIBRALTAR,36.17484664916992,-5.4327311515808105,"Barrios, Los",11,CÁDIZ,64,GENERAL,N
110293,HOSPITAL PUNTA EUROPA. UNIDAD DE CUIDADOS MEDIOS,36.129825592041016,-5.447755813598633,Algeciras,11,CÁDIZ,0,GERIATRÍA Y/O LARGA ESTANCIA,S
110305,HOSPITAL SAN CARLOS,36.4786731000348,-6.19407705015914,San Fernando,11,CÁDIZ,0,GENERAL,N
110316,HOSPITAL DE LA LÍNEA DE LA CONCEPCIÓN,36.16117858886719,-5.34825611114502,"Línea de la Concepción, La",11,CÁDIZ,243,GENERAL,N
120017,HOSPITAL GENERAL UNIVERSITARIO DE CASTELLÓN,40.003251068158995,-0.0426181769406883,Castellón de la Plana/Castelló de la Plana,12,CASTELLÓN,580,GENERAL,N
120038,HOSPITAL LA MAGDALENA,39.9949667,0.0190831,Castellón de la Plana/Castelló de la Plana,12,CASTELLÓN,128,GERIATRÍA Y/O LARGA ESTANCIA,N
120043,CONSORCIO HOSPITALARIO PROVINCIAL DE CASTELLÓN,39.9850356,-0.0454496,Castellón de la Plana/Castelló de la Plana,12,CASTELLÓN,257,GENERAL,N
120115,HOSPITAL COMARCAL DE VINARÒS,40.4644392016831,0.45096280382988496,Vinaròs,12,CASTELLÓN,150,GENERAL,N
120136,HOSPITAL UNIVERSITARIO DE LA PLANA,41.29508,-7.739310000000001,Vila-real,12,CASTELLÓN,258,GENERAL,N
120148,INSTITUTO DE TRAUMATOLOGIA DE UNIÓN DE MUTUAS (MATEPSS Nº 267),39.9936664,-0.026472700000000002,Castellón de la Plana/Castelló de la Plana,12,CASTELLÓN,28,TRAUMATOLOGÍA Y/O REHABILITACIÓN,N
120159,HOSPITAL REY D. JAIME,39.997225,-0.0360145,Castellón de la Plana/Castelló de la Plana,12,CASTELLÓN,96,GENERAL,N
120160,SERVICIOS SANITARIOS DEL CENTRO PENITENCIARIO DE CASTELLÓN II (ALBOCÀSSER),40.35626220703125,0.02536199986934662,Albocàsser,12,CASTELLÓN,64,OTRA FINALIDAD,N
130034,SERVICIOS SANITARIOS Y ASISTENCIALES,43.0063556903251,-7.564450770160071,Ciudad Real,13,CIUDAD REAL,85,PSIQUIÁTRICO,N
130049,HOSPITAL QUIRÓNSALUD CIUDAD REAL,38.9800696,-3.9388332000000004,Ciudad Real,13,CIUDAD REAL,47,GENERAL,N
130052,HOSPITAL GENERAL LA MANCHA CENTRO,39.3890017866116,-3.21956959757346,Alcázar de San Juan,13,CIUDAD REAL,353,GENERAL,N
130065,HOSPITAL VIRGEN DE ALTAGRACIA,-32.898048400878906,-60.90967178344727,Manzanares,13,CIUDAD REAL,118,GENERAL,N
130071,HOSPITAL SANTA BÁRBARA,38.68603515625,-4.112145900726318,Puertollano,13,CIUDAD REAL,141,GENERAL,N
130087,HOSPITAL GENERAL DE VALDEPEÑAS,38.76052856445313,-3.384104013442993,Valdepeñas,13,CIUDAD REAL,103,GENERAL,N
130127,HOSPITAL GENERAL DE CIUDAD REAL,38.98610305786133,-3.9272639751434326,Ciudad Real,13,CIUDAD REAL,564,GENERAL,N
130128,HOSPITAL GENERAL DE TOMELLOSO,39.174223750013105,-3.0090108500772406,Tomelloso,13,CIUDAD REAL,155,GENERAL,N
140023,HOSPITAL UNIVERSITARIO REINA SOFÍA,-31.387220000000003,-64.22803,Córdoba,14,CÓRDOBA,1233,GENERAL,N
140039,HOSPITAL LOS MORALES,-31.31363,-64.17116999999999,Córdoba,14,CÓRDOBA,0,GENERAL,N
140044,HOSPITAL MATERNO-INFANTIL DEL H.U. REINA SOFÍA,-31.387220000000003,-64.22803,Córdoba,14,CÓRDOBA,0,MATERNO-INFANTIL,N
140060,HOSPITAL PROVINCIAL,-31.387220000000003,-64.22803,Córdoba,14,CÓRDOBA,0,GENERAL,N
140076,HOSPITAL DE LA CRUZ ROJA DE CÓRDOBA,-32.80791,-63.8703,Córdoba,14,CÓRDOBA,138,GENERAL,N
140082,HOSPITAL SAN JUAN DE DIOS DE CÓRDOBA,-31.43842,-64.13135,Córdoba,14,CÓRDOBA,189,GENERAL,N
140116,HOSPITAL INFANTA MARGARITA,51.09328079223633,10.380292892456056,Cabra,14,CÓRDOBA,232,GENERAL,N
140121,HOSPITAL VALLE DE LOS PEDROCHES,38.377418518066406,-4.8483757972717285,Pozoblanco,14,CÓRDOBA,124,GENERAL,N
140195,HOSPITAL DE MONTILLA,37.39050674438477,-4.770464897155762,Montilla,14,CÓRDOBA,92,GENERAL,N
140207,HOSPITAL LA ARRUZAFA-INSTITUTO DE OFTALMOLOGÍA,37.9043757,-4.792300099999999,Córdoba,14,CÓRDOBA,4,OFTÁLMICO U ORL,N
140218,HOSPITAL DE ALTA RESOLUCIÓN DE PUENTE GENIL,37.168339210042,-3.59647070377453,Puente Genil,14,CÓRDOBA,24,GENERAL,N
140229,HOSPITAL DE ALTA RESOLUCIÓN VALLE DEL GUADIATO,38.3080646905904,-5.27048977165486,Peñarroya-Pueblonuevo,14,CÓRDOBA,17,GENERAL,N
140230,HOSPITAL GENERAL DEL H.U. REINA SOFÍA,-31.387220000000003,-64.22803,Córdoba,14,CÓRDOBA,0,GENERAL,N
140241,HOSPITAL QUIRONSALUD CÓRDOBA,-24.38888,-65.10523,Córdoba,14,CÓRDOBA,115,GENERAL,N
150011,COMPLEXO HOSPITALARIO UNIVERSITARIO A CORUÑA,43.34491974071332,-8.386633459257428,"Coruña, A",15,A CORUÑA,1341,GENERAL,N
150026,HOSPITAL UNIVERSITARIO A CORUÑA,43.34491974071332,-8.386633459257428,"Coruña, A",15,A CORUÑA,0,GENERAL,N
150032,HOSPITAL TERESA HERRERA (MATERNO-INFANTIL),43.344563050064295,-8.38556075016275,"Coruña, A",15,A CORUÑA,0,GENERAL,N
150047,HOSPITAL MARITIMO DE OZA,43.346707,-8.385901299999999,"Coruña, A",15,A CORUÑA,0,GENERAL,N
150050,CENTRO ONCOLOXICO DE GALICIA,43.3373588000001,-8.38997054999773,"Coruña, A",15,A CORUÑA,56,ONCOLÓGICO,N
150063,HOSPITAL QUIRONSALUD A CORUÑA,43.328282,-8.3997724,"Coruña, A",15,A CORUÑA,127,GENERAL,N
150079,HOSPITAL SAN RAFAEL,43.344889241884616,-8.38657330231926,"Coruña, A",15,A CORUÑA,120,GENERAL,N
150085,HOSPITAL HM MODELO,43.3665265,-8.4185222,"Coruña, A",15,A CORUÑA,0,GENERAL,N
150102,MATERNIDAD HM BELEN,43.3657747,-8.4146976,"Coruña, A",15,A CORUÑA,0,GENERAL,N
150124,HOSPITAL ABENTE Y LAGO,43.36842555193271,-8.39061846950866,"Coruña, A",15,A CORUÑA,0,GENERAL,N
150130,COMPLEXO HOSPITALARIO UNIVERSITARIO DE FERROL,43.48838806152344,-8.222509384155272,Ferrol,15,A CORUÑA,457,GENERAL,N
150145,HOSPITAL UNIVERSITARIO ARQUITECTO MARCIDE,43.48838806152344,-8.222509384155272,Ferrol,15,A CORUÑA,0,GENERAL,N
150177,HOSPITAL JUAN CARDONA,43.48838806152344,-8.222509384155272,Ferrol,15,A CORUÑA,150,GENERAL,N
150183,HOSPITAL NAVAL,43.48838806152344,-8.222509384155272,Ferrol,15,A CORUÑA,0,GENERAL,N
150200,COMPLEXO HOSPITALARIO UNIVERSITARIO DE SANTIAGO,42.8681556000407,-8.56278304996661,Santiago de Compostela,15,A CORUÑA,1395,GENERAL,N
150217,HOSPITAL CLINICO UNIVERSITARIO DE SANTIAGO,42.8681556000407,-8.56278304996661,Santiago de Compostela,15,A CORUÑA,0,GENERAL,N
150222,HOSPITAL GIL CASARES,42.8681556000407,-8.56278304996661,Santiago de Compostela,15,A CORUÑA,0,GENERAL,N
150238,HOSPITAL MEDICO CIRURXICO DE CONXO,42.8731939502159,-8.54086245007092,Santiago de Compostela,15,A CORUÑA,0,GENERAL,N
150243,HOSPITAL PSIQUIATRICO DE CONXO,42.88062286376953,-8.54660701751709,Santiago de Compostela,15,A CORUÑA,0,GENERAL,N
150256,HOSPITAL HM ESPERANZA,42.8784926,-8.5518001,Santiago de Compostela,15,A CORUÑA,0,GENERAL,N
150269,HOSPITAL HM ROSALEDA,42.871857500000004,-8.5465162,Santiago de Compostela,15,A CORUÑA,0,GENERAL,N
150308,SANATORIO LA ROBLEDA,42.849998474121094,-8.050000190734862,"Pino, O",15,A CORUÑA,96,PSIQUIÁTRICO,N
150336,HOSPITAL DA BARBANZA (*),42.55357360839844,-8.989808082580566,Ribeira,15,A CORUÑA,81,GENERAL,N
150341,HOSPITAL VIRXE DA XUNQUEIRA (*),36.088539123535156,-106.05623626708984,Cee,15,A CORUÑA,74,GENERAL,N
150354,HM MODELO (GRUPO),43.3665265,-8.4185222,"Coruña, A",15,A CORUÑA,146,GENERAL,N
150365,HOSPITAL HM ROSALEDA - HM LA ESPERANZA,42.871857500000004,-8.5465162,Santiago de Compostela,15,A CORUÑA,119,GENERAL,N
160014,HOSPITAL VIRGEN DE LA LUZ,40.07548,-2.1468735,Cuenca,16,CUENCA,388,GENERAL,N
160053,HOSPITAL RECOLETAS CUENCA S.L.U.,-2.89845,-79.01191,Cuenca,16,CUENCA,30,MÉDICO-QUIRÚRGICO,N
170010,HOSPITAL UNIVERSITARI DE GIRONA DR. JOSEP TRUETA,46.62378692626953,2.4555580615997314,Girona,17,GIRONA,431,GENERAL,N
170031,CLÍNICA BOFILL,41.155692166804,1.21092600983242,Girona,17,GIRONA,47,GENERAL,N
170059,CLÍNICA GIRONA,42.17756274496699,2.4920329730339894,Girona,17,GIRONA,123,GENERAL,N
170062,CLÍNICA QUIRÚRGICA ONYAR,41.97635,2.8250257000000003,Girona,17,GIRONA,38,GENERAL,N
170097,CLÍNICA SALUS INFIRMORUM,42.1151119864566,2.761416511583811,Banyoles,17,GIRONA,100,GERIATRÍA Y/O LARGA ESTANCIA,N
170101,HOSPITAL DE SANT JAUME,40.645790000000005,-75.37100000000001,Blanes,17,GIRONA,23,GERIATRÍA Y/O LARGA ESTANCIA,N
170118,HOSPITAL DE CAMPDEVÀNOL,42.222550154015,2.1666055527325296,Campdevànol,17,GIRONA,80,GENERAL,N
170123,HOSPITAL DE FIGUERES,42.26749801635742,2.9608399868011475,Figueres,17,GIRONA,168,GENERAL,N
170139,CLÍNICA SANTA CREU,42.26204824158536,2.961113601722429,Figueres,17,GIRONA,35,GENERAL,N
170160,HOSPITAL SOCIOSANITARI DE LLORET DE MAR,41.700913,2.8532583,Lloret de Mar,17,GIRONA,63,GERIATRÍA Y/O LARGA ESTANCIA,N
170176,HOSPITAL D'OLOT I COMARCAL DE LA GARROTXA,42.11587585605997,2.766886796901607,Olot,17,GIRONA,137,GENERAL,N
170195,HOSPITAL DE PALAMÓS,34.88541852826089,-83.96082576819998,Palamós,17,GIRONA,136,GENERAL,N
170216,HOSPITAL PSIQUIÀTRIC,9.93597,-84.08556,Salt,17,GIRONA,593,PSIQUIÁTRICO,N
170221,RESIDÈNCIA DE GENT GRAN PUIG D'EN ROCA,41.995296100000004,2.8131494,Girona,17,GIRONA,55,GERIATRÍA Y/O LARGA ESTANCIA,N
170237,HOSPITAL COMARCAL DE BLANES,41.6879456,2.8019279,Blanes,17,GIRONA,121,GENERAL,N
170242,RESIDÈNCIA GERIÀTRICA MARIA GAY,42.1830804,2.4897473,Girona,17,GIRONA,24,GERIATRÍA Y/O LARGA ESTANCIA,N
170255,HOSPITAL SOCIOSANITARI MUTUAM GIRONA,43.25661849975586,-0.7611449956893921,Girona,17,GIRONA,90,GERIATRÍA Y/O LARGA ESTANCIA,N
170277,CENTRE SOCIOSANITARI DE PUIGCERDÀ,42.43134689331055,1.9276549816131592,Puigcerdà,17,GIRONA,52,GERIATRÍA Y/O LARGA ESTANCIA,N
170288,CENTRE SOCIOSANITARI BERNAT JAUME,42.26749801635742,2.9608399868011475,Figueres,17,GIRONA,121,GERIATRÍA Y/O LARGA ESTANCIA,N
170299,INSTITUT CATALÀ D'ONCOLOGIA GIRONA - HOSPITAL JOSEP TRUETA,46.62378692626953,2.4555580615997314,Girona,17,GIRONA,26,ONCOLÓGICO,N
170301,HOSPITAL SANTA CATERINA-IAS,42.14492416381836,24.750322341918945,Salt,17,GIRONA,178,GENERAL,N
170312,CENTRE PALAMÓS GENT GRAN,42.03334872668221,-88.32655363414142,Palamós,17,GIRONA,100,GERIATRÍA Y/O LARGA ESTANCIA,N
170323,CENTRE SOCIOSANITARI PARC HOSPITALARI MARTÍ I JULIÀ,9.93597,-84.08556,Salt,17,GIRONA,120,GERIATRÍA Y/O LARGA ESTANCIA,N
170334,HOSPITAL DE CERDANYA / HÔPITAL DE CERDAGNE,42.43134689331055,1.9276549816131592,Puigcerdà,17,GIRONA,66,GENERAL,N
